,author,text,author_link,tags
35,Charles M. Schulz,“All you need is love. But a little chocolate now and then doesn't hurt.”,http://quotes.toscrape.com/author/Charles-M-Schulz,"['chocolate', 'food', 'humor']"
36,William Nicholson,“We read to know we're not alone.”,http://quotes.toscrape.com/author/William-Nicholson,"['misattributed-to-c-s-lewis', 'reading']"
37,Albert Einstein,“Any fool can know. The point is to understand.”,http://quotes.toscrape.com/author/Albert-Einstein,"['knowledge', 'learning', 'understanding', 'wisdom']"
38,Jorge Luis Borges,“I have always imagined that Paradise will be a kind of library.”,http://quotes.toscrape.com/author/Jorge-Luis-Borges,"['books', 'library']"
39,George Eliot,“It is never too late to be what you might have been.”,http://quotes.toscrape.com/author/George-Eliot,['inspirational']
40,George R.R. Martin,"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",http://quotes.toscrape.com/author/George-R-R-Martin,"['read', 'readers', 'reading', 'reading-books']"
41,C.S. Lewis,“You can never get a cup of tea large enough or a book long enough to suit me.”,http://quotes.toscrape.com/author/C-S-Lewis,"['books', 'inspirational', 'reading', 'tea']"
42,Marilyn Monroe,“You believe lies so you eventually learn to trust no one but yourself.”,http://quotes.toscrape.com/author/Marilyn-Monroe,[]
43,Marilyn Monroe,"“If you can make a woman laugh, you can make her do anything.”",http://quotes.toscrape.com/author/Marilyn-Monroe,"['girls', 'love']"
44,Albert Einstein,"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",http://quotes.toscrape.com/author/Albert-Einstein,"['life', 'simile']"
45,Marilyn Monroe,“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,http://quotes.toscrape.com/author/Marilyn-Monroe,['love']
46,Marilyn Monroe,"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”",http://quotes.toscrape.com/author/Marilyn-Monroe,['attributed-no-source']
47,Martin Luther King Jr.,“Only in the darkness can you see the stars.”,http://quotes.toscrape.com/author/Martin-Luther-King-Jr,"['hope', 'inspirational']"
48,J.K. Rowling,"“It matters not what someone is born, but what they grow to be.”",http://quotes.toscrape.com/author/J-K-Rowling,['dumbledore']
49,James Baldwin,"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",http://quotes.toscrape.com/author/James-Baldwin,['love']
50,Jane Austen,"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",http://quotes.toscrape.com/author/Jane-Austen,"['friendship', 'love']"
51,Eleanor Roosevelt,“Do one thing every day that scares you.”,http://quotes.toscrape.com/author/Eleanor-Roosevelt,"['attributed', 'fear', 'inspiration']"
52,Marilyn Monroe,"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",http://quotes.toscrape.com/author/Marilyn-Monroe,['attributed-no-source']
53,Albert Einstein,"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",http://quotes.toscrape.com/author/Albert-Einstein,['music']
54,Haruki Murakami,"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",http://quotes.toscrape.com/author/Haruki-Murakami,"['books', 'thought']"
55,Alexandre Dumas fils,“The difference between genius and stupidity is: genius has its limits.”,http://quotes.toscrape.com/author/Alexandre-Dumas-fils,['misattributed-to-einstein']
56,Stephenie Meyer,"“He's like a drug for you, Bella.”",http://quotes.toscrape.com/author/Stephenie-Meyer,"['drug', 'romance', 'simile']"
57,Ernest Hemingway,“There is no friend as loyal as a book.”,http://quotes.toscrape.com/author/Ernest-Hemingway,"['books', 'friends', 'novelist-quotes']"
58,Helen Keller,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",http://quotes.toscrape.com/author/Helen-Keller,['inspirational']
59,George Bernard Shaw,“Life isn't about finding yourself. Life is about creating yourself.”,http://quotes.toscrape.com/author/George-Bernard-Shaw,"['inspirational', 'life', 'yourself']"
60,Charles Bukowski,"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",http://quotes.toscrape.com/author/Charles-Bukowski,['alcohol']
61,Suzanne Collins,“You don’t forget the face of the person who was your last hope.”,http://quotes.toscrape.com/author/Suzanne-Collins,['the-hunger-games']
62,Suzanne Collins,"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”",http://quotes.toscrape.com/author/Suzanne-Collins,['humor']
63,C.S. Lewis,"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”",http://quotes.toscrape.com/author/C-S-Lewis,['love']
64,J.R.R. Tolkien,“Not all those who wander are lost.”,http://quotes.toscrape.com/author/J-R-R-Tolkien,"['bilbo', 'journey', 'lost', 'quest', 'travel', 'wander']"
65,J.K. Rowling,"“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”",http://quotes.toscrape.com/author/J-K-Rowling,['live-death-love']
66,Ernest Hemingway,“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,http://quotes.toscrape.com/author/Ernest-Hemingway,"['good', 'writing']"
67,Ralph Waldo Emerson,“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,http://quotes.toscrape.com/author/Ralph-Waldo-Emerson,"['life', 'regrets']"
68,Mark Twain,“I have never let my schooling interfere with my education.”,http://quotes.toscrape.com/author/Mark-Twain,['education']
69,Dr. Seuss,“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”,http://quotes.toscrape.com/author/Dr-Seuss,['troubles']
70,Alfred Tennyson,“If I had a flower for every time I thought of you...I could walk through my garden forever.”,http://quotes.toscrape.com/author/Alfred-Tennyson,"['friendship', 'love']"
71,Charles Bukowski,“Some people never go crazy. What truly horrible lives they must lead.”,http://quotes.toscrape.com/author/Charles-Bukowski,['humor']
72,Terry Pratchett,"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”",http://quotes.toscrape.com/author/Terry-Pratchett,"['humor', 'open-mind', 'thinking']"
73,Dr. Seuss,"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”",http://quotes.toscrape.com/author/Dr-Seuss,"['humor', 'philosophy']"
74,J.D. Salinger,"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",http://quotes.toscrape.com/author/J-D-Salinger,"['authors', 'books', 'literature', 'reading', 'writing']"
75,George Carlin,“The reason I talk to myself is because I’m the only one whose answers I accept.”,http://quotes.toscrape.com/author/George-Carlin,"['humor', 'insanity', 'lies', 'lying', 'self-indulgence', 'truth']"
76,John Lennon,"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”",http://quotes.toscrape.com/author/John-Lennon,"['beatles', 'connection', 'dreamers', 'dreaming', 'dreams', 'hope', 'inspirational', 'peace']"
77,W.C. Fields,“I am free of all prejudice. I hate everyone equally. ”,http://quotes.toscrape.com/author/W-C-Fields,"['humor', 'sinister']"
78,Ayn Rand,“The question isn't who is going to let me; it's who is going to stop me.”,http://quotes.toscrape.com/author/Ayn-Rand,[]
79,Mark Twain,“′Classic′ - a book which people praise and don't read.”,http://quotes.toscrape.com/author/Mark-Twain,"['books', 'classic', 'reading']"
80,Albert Einstein,“Anyone who has never made a mistake has never tried anything new.”,http://quotes.toscrape.com/author/Albert-Einstein,['mistakes']
81,Jane Austen,"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”",http://quotes.toscrape.com/author/Jane-Austen,"['humor', 'love', 'romantic', 'women']"
82,J.K. Rowling,"“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”",http://quotes.toscrape.com/author/J-K-Rowling,['integrity']
83,Jane Austen,"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”",http://quotes.toscrape.com/author/Jane-Austen,"['books', 'library', 'reading']"
84,Jane Austen,"“There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”",http://quotes.toscrape.com/author/Jane-Austen,"['elizabeth-bennet', 'jane-austen']"
85,C.S. Lewis,“Some day you will be old enough to start reading fairy tales again.”,http://quotes.toscrape.com/author/C-S-Lewis,"['age', 'fairytales', 'growing-up']"
86,C.S. Lewis,“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”,http://quotes.toscrape.com/author/C-S-Lewis,['god']
87,Mark Twain,“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,http://quotes.toscrape.com/author/Mark-Twain,"['death', 'life']"
88,Mark Twain,“A lie can travel half way around the world while the truth is putting on its shoes.”,http://quotes.toscrape.com/author/Mark-Twain,"['misattributed-mark-twain', 'truth']"
89,C.S. Lewis,"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”",http://quotes.toscrape.com/author/C-S-Lewis,"['christianity', 'faith', 'religion', 'sun']"
90,J.K. Rowling,"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",http://quotes.toscrape.com/author/J-K-Rowling,['truth']
91,Jimi Hendrix,"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",http://quotes.toscrape.com/author/Jimi-Hendrix,"['death', 'life']"
92,J.M. Barrie,“To die will be an awfully big adventure.”,http://quotes.toscrape.com/author/J-M-Barrie,"['adventure', 'love']"
93,E.E. Cummings,“It takes courage to grow up and become who you really are.”,http://quotes.toscrape.com/author/E-E-Cummings,['courage']
94,Khaled Hosseini,“But better to get hurt by the truth than comforted with a lie.”,http://quotes.toscrape.com/author/Khaled-Hosseini,['life']
95,Harper Lee,“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”,http://quotes.toscrape.com/author/Harper-Lee,['better-life-empathy']
96,Madeleine L'Engle,"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",http://quotes.toscrape.com/author/Madeleine-LEngle,"['books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing']"
97,Mark Twain,“Never tell the truth to people who are not worthy of it.”,http://quotes.toscrape.com/author/Mark-Twain,['truth']
98,Dr. Seuss,"“A person's a person, no matter how small.”",http://quotes.toscrape.com/author/Dr-Seuss,['inspirational']
99,George R.R. Martin,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",http://quotes.toscrape.com/author/George-R-R-Martin,"['books', 'mind']"
